strain	wormcamp_plate_num	well	random_ID	bleach_wave	conc embryo/uL	num_of_worms_after_bleach	number_of_worms_estimated_on_6cm_plate	notes
N2_4	1	A01	44	4	1.16	1082	300	NA
N2_4	1	A02	44	4	1.16	1082	300	NA
N2_4	1	A03	44	4	1.16	1082	300	NA
JU1652	1	A04	59	3	0.23	632	1000	NA
NIC231	1	A05	49	3	0.33	957	1000	NA
GXW1	1	A06	107	3	0.16	576	150	NA
NIC526	1	B01	35	3	0.5	1400	1000	NA
NIC528	1	B02	43	3	0.85	2000	1000	NA
JU2526	1	B03	34	3	2.3	2000	1000	NA
JU1395	1	B04	9	3	0.16	500	1000	NA
NIC262	1	B05	25	3	0.46	1380	1000	NA
NIC258	1	B06	12	3	0.83	1660	1000	NA
JU1491	1	C01	42	3	0.43	1204	1000	NA
JU397	1	C02	19	3	0.46	1702	1000	NA
WN2002	1	C03	41	1	2.2	2000	1000	NA
JU561	1	C04	20	3	0.46	1265	1000	NA
QX1792	1	C05	23	3	0.6	2160	1000	NA
EG4724	1	C06	52	3	0.36	900	1000	NA
JU642	1	D01	4	3	1.7	2000	1000	NA
JU2513	1	D02	11	2	1.2	2000	1000	NA
QX1791	1	D03	85	3	0.6	2040	300	NA
JU1212	1	D04	18	2	1.5	2000	1000	NA
WN2001	1	D05	1	3	0.3	900	1000	NA
NIC529	1	D06	6	3	0.23	641	1000	NA
N2_4	2	A01	44	4	1.16	1082	300	NA
N2_4	2	A02	44	4	1.16	1082	300	NA
N2_4	2	A03	44	4	1.16	1082	300	NA
GXW1	2	A04	107	3	0.16	576	150	NA
QX1791	2	A05	85	3	0.6	2040	300	NA
JU1652	2	A06	59	3	0.23	632	1000	NA
WN2001	2	B01	1	3	0.3	900	1000	NA
JU561	2	B02	20	3	0.46	1265	1000	NA
NIC528	2	B03	43	3	0.85	2000	1000	NA
JU1395	2	B04	9	3	0.16	500	1000	NA
JU2513	2	B05	11	2	1.2	2000	1000	NA
JU1212	2	B06	18	2	1.5	2000	1000	NA
JU642	2	C01	4	3	1.7	2000	1000	NA
NIC529	2	C02	6	3	0.23	641	1000	NA
JU1491	2	C03	42	3	0.43	1204	1000	NA
EG4724	2	C04	52	3	0.36	900	1000	NA
JU397	2	C05	19	3	0.46	1702	1000	NA
WN2002	2	C06	41	1	2.2	2000	1000	NA
JU2526	2	D01	34	3	2.3	2000	1000	NA
NIC231	2	D02	49	3	0.33	957	1000	NA
NIC526	2	D03	35	3	0.5	1400	1000	NA
NIC258	2	D04	12	3	0.83	1660	1000	NA
QX1792	2	D05	23	3	0.6	2160	1000	NA
NIC262	2	D06	25	3	0.46	1380	1000	NA
N2_4	3	A01	44	4	1.16	1082	300	NA
N2_4	3	A02	44	4	1.16	1082	300	NA
N2_4	3	A03	44	4	1.16	1082	300	NA
JU1395	3	A04	9	3	0.16	500	1000	NA
JU1491	3	A05	42	3	0.43	1204	1000	NA
NIC526	3	A06	35	3	0.5	1400	1000	NA
JU642	3	B01	4	3	1.7	2000	1000	NA
QX1792	3	B02	23	3	0.6	2160	1000	NA
NIC262	3	B03	25	3	0.46	1380	1000	NA
NIC231	3	B04	49	3	0.33	957	1000	NA
NIC529	3	B05	6	3	0.23	641	1000	NA
WN2001	3	B06	1	3	0.3	900	1000	NA
JU1652	3	C01	59	3	0.23	632	1000	NA
JU561	3	C02	20	3	0.46	1265	1000	NA
QX1791	3	C03	85	3	0.6	2040	300	NA
JU1212	3	C04	18	2	1.5	2000	1000	NA
JU397	3	C05	19	3	0.46	1702	1000	NA
NIC258	3	C06	12	3	0.83	1660	1000	NA
JU2513	3	D01	11	2	1.2	2000	1000	NA
NIC528	3	D02	43	3	0.85	2000	1000	NA
WN2002	3	D03	41	1	2.2	2000	1000	NA
EG4724	3	D04	52	3	0.36	900	1000	NA
JU2526	3	D05	34	3	2.3	2000	1000	NA
GXW1	3	D06	107	3	0.16	576	150	NA
N2_4	4	A01	44	4	1.16	1082	300	NA
N2_4	4	A02	44	4	1.16	1082	300	NA
N2_4	4	A03	44	4	1.16	1082	300	NA
JU1652	4	A04	59	3	0.23	632	1000	NA
NIC528	4	A05	43	3	0.85	2000	1000	NA
JU397	4	A06	19	3	0.46	1702	1000	NA
JU2526	4	B01	34	3	2.3	2000	1000	NA
NIC262	4	B02	25	3	0.46	1380	1000	NA
